motif_id,adult_A,adult_B,adult_C,embryo_A_wormbase_raw,embryo_B_wormbase_raw,embryo_C_wormbase_raw,embryo_A_sulston,embryo_B_sulston,embryo_C_sulston,synapses_A_to_B,synapses_A_to_C,synapses_B_to_C,total_synapses,hyperedge_weight_w_e,neurotransmitter_A,all_embryo_mapped
FFL_0000,ADAL,AIBL,AVBL,AB plapaaaapp,AB plaapappa,AB plpaapaap,ABplapaaaapp,ABplaapappa,ABplpaapaap,1.0,4.0,5.0,10.0,2.397895,exc,True
FFL_0001,ADAL,AIBL,RIML,AB plapaaaapp,AB plaapappa,AB plppaapap,ABplapaaaapp,ABplaapappa,ABplppaapap,1.0,3.0,2.0,6.0,1.94591,exc,True
FFL_0002,ADAL,AIBR,AVAR,AB plapaaaapp,AB praapappa,AB alaappapa,ABplapaaaapp,ABpraapappa,ABalaappapa,2.0,2.0,1.0,5.0,1.791759,exc,True
FFL_0003,ADAL,AIBR,AVBR,AB plapaaaapp,AB praapappa,AB prpaapaap,ABplapaaaapp,ABpraapappa,ABprpaapaap,2.0,7.0,3.0,12.0,2.564949,exc,True
FFL_0004,ADAL,AIBR,AVEL,AB plapaaaapp,AB praapappa,AB alpppaaaa,ABplapaaaapp,ABpraapappa,ABalpppaaaa,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0005,ADAL,AIBR,RIML,AB plapaaaapp,AB praapappa,AB plppaapap,ABplapaaaapp,ABpraapappa,ABplppaapap,2.0,3.0,16.0,21.0,3.091042,exc,True
FFL_0006,ADAL,AVAR,AVBL,AB plapaaaapp,AB alaappapa,AB plpaapaap,ABplapaaaapp,ABalaappapa,ABplpaapaap,2.0,4.0,1.0,7.0,2.079442,exc,True
FFL_0007,ADAL,AVAR,AVDL,AB plapaaaapp,AB alaappapa,AB alaaapalr,ABplapaaaapp,ABalaappapa,ABalaaapalr,2.0,1.0,1.0,4.0,1.609438,exc,True
FFL_0008,ADAL,AVAR,AVEL,AB plapaaaapp,AB alaappapa,AB alpppaaaa,ABplapaaaapp,ABalaappapa,ABalpppaaaa,2.0,1.0,2.0,5.0,1.791759,exc,True
FFL_0009,ADAL,AVBL,AVAR,AB plapaaaapp,AB plpaapaap,AB alaappapa,ABplapaaaapp,ABplpaapaap,ABalaappapa,4.0,2.0,7.0,13.0,2.639057,exc,True
FFL_0010,ADAL,AVBL,AVBR,AB plapaaaapp,AB plpaapaap,AB prpaapaap,ABplapaaaapp,ABplpaapaap,ABprpaapaap,4.0,7.0,1.0,12.0,2.564949,exc,True
FFL_0011,ADAL,AVBL,AVDL,AB plapaaaapp,AB plpaapaap,AB alaaapalr,ABplapaaaapp,ABplpaapaap,ABalaaapalr,4.0,1.0,1.0,6.0,1.94591,exc,True
FFL_0012,ADAL,AVBL,AVEL,AB plapaaaapp,AB plpaapaap,AB alpppaaaa,ABplapaaaapp,ABplpaapaap,ABalpppaaaa,4.0,1.0,1.0,6.0,1.94591,exc,True
FFL_0013,ADAL,AVBR,AVAR,AB plapaaaapp,AB prpaapaap,AB alaappapa,ABplapaaaapp,ABprpaapaap,ABalaappapa,7.0,2.0,7.0,16.0,2.833213,exc,True
