hyperedge_id,t,cluster_id,members,cluster_size,hyperedge_weight
SPA_000000,15,0,ABal|ABar|Cp,3,1.0
SPA_000001,30,0,ABplp|Ca|Caa,3,1.0
SPA_000002,38,0,ABpra|ABarapp|ABplpa,3,1.0
SPA_000003,40,0,ABpla|ABprpap|Cpa,3,1.0
SPA_000004,42,0,ABplpp|ABarppp|ABpraap,3,1.0
SPA_000005,43,0,ABarpp|ABplpp|ABpraap,3,1.0
SPA_000006,46,0,ABpraa|Ca|ABarapp,3,1.0
SPA_000007,52,0,ABalpa|Dp|Cppa,3,1.0
SPA_000008,52,1,ABarpa|ABprapa|ABpraapa,3,1.0
SPA_000009,53,0,ABalpp|Cp|Epr,3,1.0
SPA_000010,53,1,ABprpp|ABalpapa|ABplaapa,3,1.0
SPA_000011,53,2,Ep|ABplaap|ABalpapp,3,1.0
SPA_000012,53,3,MSpp|MSaap|ABalpppp,3,1.0
SPA_000013,54,0,MSpp|ABplappa|ABalpppp,3,1.0
SPA_000014,54,1,Cpp|ABalaaaa|ABplaaaa,3,1.0
SPA_000015,54,2,ABalapp|ABaraap|ABplapaa|ABalappa|ABplaaap,5,1.0
SPA_000016,54,3,Cpaa|ABprapap|ABprpapa,3,1.0
SPA_000017,55,0,ABarpa|ABprapap|ABprpaa|ABarapaa,4,1.0
SPA_000018,55,1,ABalapp|ABplapaa|ABplaap|ABalappa,4,1.0
SPA_000019,55,2,Cpp|ABalaaaa|ABalpaaa,3,1.0
SPA_000020,55,3,MSpp|ABplappa|ABalpppp,3,1.0
SPA_000021,56,0,ABalap|ABprappp|ABaraaaa,3,1.0
SPA_000022,56,1,ABarpa|ABprapap|ABprpaa|ABprpaaa,4,1.0
SPA_000023,56,2,Cpp|ABalaaa|ABplaaaa,3,1.0
SPA_000024,56,3,ABalpa|Cppp|ABalpaaa,3,1.0
SPA_000025,56,4,ABplpapa|ABplppa|ABpraaa,3,1.0
SPA_000026,56,5,ABprappa|ABalapap|ABaraaap,3,1.0
SPA_000027,57,0,ABalap|ABprappp|ABalaaap,3,1.0
SPA_000028,57,1,MSpp|ABalpppp|ABplappa|ABarpap,4,1.0
SPA_000029,57,2,Cpp|ABalpap|ABplaaaa,3,1.0
SPA_000030,57,3,ABalapp|ABplaaa|MSaaa,3,1.0
SPA_000031,57,4,ABplapp|ABplapap|MSpaa,3,1.0
SPA_000032,58,0,ABalap|ABprappp|ABalaaap,3,1.0
SPA_000033,59,0,ABprpa|ABaraap|ABalpppa,3,1.0
SPA_000034,59,1,Cpp|ABalaaap|ABplaaaa,3,1.0
SPA_000035,59,2,ABalpa|ABprppa|Cpap,3,1.0
SPA_000036,60,0,ABprpa|ABaraap|ABalpppa,3,1.0
SPA_000037,60,1,ABprap|ABalppp|ABplpaa|ABarpapa,4,1.0
SPA_000038,60,2,Cpp|ABalaaap|ABplaaaa,3,1.0
SPA_000039,60,3,ABalaap|ABalpaap|ABplaapa,3,1.0
SPA_000040,61,0,ABprap|ABalppp|ABplpaa|ABarpapa,4,1.0
SPA_000041,62,0,ABprap|ABalppp|ABplpaa|ABarapaa,4,1.0
SPA_000042,62,1,MSpa|ABpraap|MSapp,3,1.0
SPA_000043,62,2,ABalpap|ABalaaap|ABaraaaa,3,1.0
SPA_000044,62,3,ABprpp|Cpp|ABplaaaa,3,1.0
SPA_000045,63,0,MSap|MSpa|MSapp,3,1.0
SPA_000046,63,1,ABalppp|ABplpaa|ABarapaa,3,1.0
SPA_000047,63,2,ABalpap|ABalaaap|ABaraaaa,3,1.0
SPA_000048,63,3,MSpp|ABarpap|ABalpppp,3,1.0
SPA_000049,64,0,ABalpa|Cpap|Dp,3,1.0
SPA_000050,64,1,ABprpp|ABalpap|ABalaaap,3,1.0
SPA_000051,64,2,MSap|MSpa|MSapp|MSappp,4,1.0
SPA_000052,64,3,Epr|ABalaapp|ABaraapp,3,1.0
SPA_000053,64,4,MSpp|ABarpap|ABalpppp,3,1.0
SPA_000054,64,5,ABprapa|ABarpaap|ABarpapa,3,1.0
SPA_000055,65,0,MSpa|ABplappp|MSapp|MSapap,4,1.0
SPA_000056,65,1,ABprapp|ABalppp|ABplpaa,3,1.0
SPA_000057,66,0,ABarpaa|ABprapap|ABprpapa,3,1.0
SPA_000058,66,1,ABprapp|ABalppp|ABplpaa|ABaraaap,4,1.0
SPA_000059,66,2,ABprppa|ABalppa|ABalapaa,3,1.0
SPA_000060,66,3,MSpp|ABalpppp|MSapaa,3,1.0
SPA_000061,67,0,ABalaaa|ABprpppp|Cppa,3,1.0
SPA_000062,67,1,MSpp|ABalpppp|MSapaa,3,1.0
SPA_000063,68,0,ABpraap|ABalappp|MSpaaa,3,1.0
SPA_000064,68,1,ABalpppp|ABplaapp|MSapaa,3,1.0
