Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
P0,422.0777778,248.3166667,14.32666667,AB,P1,0
AB,317.7850538,251.8004257,14.70036534,ABa,ABp,17
P1,445.3393565,253.8605634,15.23819612,EMS,P2,18
ABa,251.1503697,254.4083625,15.06383718,ABar,ABal,35
ABp,358.9841274,267.2765127,14.87758775,ABpr,ABpl,35
P2,489.6439354,252.4161763,15.43859426,C,P3,42
EMS,380.8060944,240.946264,15.09497063,MS,E,39
ABal,223.027697,245.9936991,15.47635926,ABala,ABalp,50
ABar,285.0467059,268.815807,15.18162949,ABara,ABarp,50
ABpl,351.0989585,254.3836405,15.31050525,ABplp,ABpla,50
ABpr,410.7116493,264.9469936,14.93181156,ABprp,ABpra,55
C,454.0786306,262.8908489,15.42513003,Cp,Ca,70
P3,501.8198851,247.4435227,15.54214669,D,P4,68
E,432.6886089,249.0934301,15.53709975,Ep,Ea,58
MS,346.9338563,243.0266701,14.66644114,MSp,MSa,58
ABala,213.1214097,257.4950708,15.3033754,ABalaa,ABalap,68
ABalp,242.4647281,237.7061583,15.52725042,ABalpp,ABalpa,68
ABara,298.0093306,262.2539352,14.68890561,ABarap,ABaraa,75
ABarp,329.2359091,277.3430934,15.38067368,ABarpp,ABarpa,68
ABpla,282.4308482,257.2851024,15.58957578,ABplap,ABplaa,75
ABplp,353.5002455,238.3328287,15.68825214,ABplpp,ABplpa,67
ABpra,399.7654673,272.5898538,14.93826346,ABpraa,ABprap,75
ABprp,442.3363239,256.0296736,14.8141148,ABprpa,ABprpp,75
Ca,398.6028986,259.4625688,15.24209138,Cap,Caa,97
Cp,467.7115583,263.5736586,15.45729871,Cpa,Cpp,97
D,502.8339736,248.3478593,15.54572799,Dp,Da,115
Ea,403.6561411,249.6521681,15.27480772,Eal,Ear,110
Ep,445.7888372,247.343619,15.22588,Epr,Epl,115
MSa,301.2879952,237.4424445,14.99291964,MSap,MSaa,85
MSp,363.4289513,246.2136059,14.60027755,MSpa,MSpp,85
P4,458.5687176,237.6282943,15.21732717,Z2,Z3,140
ABalaa,204.5349468,255.8945048,15.08994478,ABalaaa,ABalaap,94
ABalap,229.9191833,266.7367609,15.54799669,ABalapa,ABalapp,92
ABalpa,219.0657373,239.1526388,15.58360274,ABalpaa,ABalpap,105
ABalpp,271.5603695,235.9853221,16.02553986,ABalppa,ABalppp,105
ABaraa,264.2091216,259.8777173,14.78627389,ABaraap,ABaraaa,105
ABarap,320.7283878,266.8614434,14.74722891,ABarapa,ABarapp,105
ABarpa,296.4612039,277.8054761,15.39123255,ABarpaa,ABarpap,105
ABarpp,369.4115119,277.7353168,15.47830265,ABarppp,ABarppa,105
ABplaa,258.0793384,258.2536251,15.91346245,ABplaap,ABplaaa,105
ABplap,326.0579009,257.8614665,15.53303041,ABplapa,ABplapp,105
ABplpa,335.8011011,232.2377926,15.91399846,ABplpaa,ABplpap,105
ABplpp,394.9387675,237.8356057,15.97618174,ABplppp,ABplppa,105
ABpraa,373.3489071,277.6527735,14.93108575,ABpraaa,ABpraap,105
