hyperedge_id,parent_cell,daughter_1,daughter_2,members,birth_time,parent_x,parent_y,parent_z,hyperedge_weight
LIN_0000,P0,AB,P1,P0|AB|P1,0,422.0777778,248.3166667,14.32666667,1.0
LIN_0001,AB,ABa,ABp,AB|ABa|ABp,17,317.7850538,251.8004257,14.70036534,1.0
LIN_0002,P1,EMS,P2,P1|EMS|P2,18,445.3393565,253.8605634,15.23819612,1.0
LIN_0003,ABa,ABar,ABal,ABa|ABar|ABal,35,251.1503697,254.4083625,15.06383718,1.0
LIN_0004,ABp,ABpr,ABpl,ABp|ABpr|ABpl,35,358.9841274,267.2765127,14.87758775,1.0
LIN_0005,P2,C,P3,P2|C|P3,42,489.6439354,252.4161763,15.43859426,1.0
LIN_0006,EMS,MS,E,EMS|MS|E,39,380.8060944,240.946264,15.09497063,1.0
LIN_0007,ABal,ABala,ABalp,ABal|ABala|ABalp,50,223.027697,245.9936991,15.47635926,1.0
LIN_0008,ABar,ABara,ABarp,ABar|ABara|ABarp,50,285.0467059,268.815807,15.18162949,1.0
LIN_0009,ABpl,ABplp,ABpla,ABpl|ABplp|ABpla,50,351.0989585,254.3836405,15.31050525,1.0
LIN_0010,ABpr,ABprp,ABpra,ABpr|ABprp|ABpra,55,410.7116493,264.9469936,14.93181156,1.0
LIN_0011,C,Cp,Ca,C|Cp|Ca,70,454.0786306,262.8908489,15.42513003,1.0
LIN_0012,P3,D,P4,P3|D|P4,68,501.8198851,247.4435227,15.54214669,1.0
LIN_0013,E,Ep,Ea,E|Ep|Ea,58,432.6886089,249.0934301,15.53709975,1.0
LIN_0014,MS,MSp,MSa,MS|MSp|MSa,58,346.9338563,243.0266701,14.66644114,1.0
LIN_0015,ABala,ABalaa,ABalap,ABala|ABalaa|ABalap,68,213.1214097,257.4950708,15.3033754,1.0
LIN_0016,ABalp,ABalpp,ABalpa,ABalp|ABalpp|ABalpa,68,242.4647281,237.7061583,15.52725042,1.0
LIN_0017,ABara,ABarap,ABaraa,ABara|ABarap|ABaraa,75,298.0093306,262.2539352,14.68890561,1.0
LIN_0018,ABarp,ABarpp,ABarpa,ABarp|ABarpp|ABarpa,68,329.2359091,277.3430934,15.38067368,1.0
LIN_0019,ABpla,ABplap,ABplaa,ABpla|ABplap|ABplaa,75,282.4308482,257.2851024,15.58957578,1.0
LIN_0020,ABplp,ABplpp,ABplpa,ABplp|ABplpp|ABplpa,67,353.5002455,238.3328287,15.68825214,1.0
LIN_0021,ABpra,ABpraa,ABprap,ABpra|ABpraa|ABprap,75,399.7654673,272.5898538,14.93826346,1.0
LIN_0022,ABprp,ABprpa,ABprpp,ABprp|ABprpa|ABprpp,75,442.3363239,256.0296736,14.8141148,1.0
LIN_0023,Ca,Cap,Caa,Ca|Cap|Caa,97,398.6028986,259.4625688,15.24209138,1.0
LIN_0024,Cp,Cpa,Cpp,Cp|Cpa|Cpp,97,467.7115583,263.5736586,15.45729871,1.0
LIN_0025,D,Dp,Da,D|Dp|Da,115,502.8339736,248.3478593,15.54572799,1.0
LIN_0026,Ea,Eal,Ear,Ea|Eal|Ear,110,403.6561411,249.6521681,15.27480772,1.0
LIN_0027,Ep,Epr,Epl,Ep|Epr|Epl,115,445.7888372,247.343619,15.22588,1.0
LIN_0028,MSa,MSap,MSaa,MSa|MSap|MSaa,85,301.2879952,237.4424445,14.99291964,1.0
LIN_0029,MSp,MSpa,MSpp,MSp|MSpa|MSpp,85,363.4289513,246.2136059,14.60027755,1.0
LIN_0030,P4,Z2,Z3,P4|Z2|Z3,140,458.5687176,237.6282943,15.21732717,1.0
LIN_0031,ABalaa,ABalaaa,ABalaap,ABalaa|ABalaaa|ABalaap,94,204.5349468,255.8945048,15.08994478,1.0
LIN_0032,ABalap,ABalapa,ABalapp,ABalap|ABalapa|ABalapp,92,229.9191833,266.7367609,15.54799669,1.0
LIN_0033,ABalpa,ABalpaa,ABalpap,ABalpa|ABalpaa|ABalpap,105,219.0657373,239.1526388,15.58360274,1.0
LIN_0034,ABalpp,ABalppa,ABalppp,ABalpp|ABalppa|ABalppp,105,271.5603695,235.9853221,16.02553986,1.0
LIN_0035,ABaraa,ABaraap,ABaraaa,ABaraa|ABaraap|ABaraaa,105,264.2091216,259.8777173,14.78627389,1.0
LIN_0036,ABarap,ABarapa,ABarapp,ABarap|ABarapa|ABarapp,105,320.7283878,266.8614434,14.74722891,1.0
LIN_0037,ABarpa,ABarpaa,ABarpap,ABarpa|ABarpaa|ABarpap,105,296.4612039,277.8054761,15.39123255,1.0
LIN_0038,ABarpp,ABarppp,ABarppa,ABarpp|ABarppp|ABarppa,105,369.4115119,277.7353168,15.47830265,1.0
LIN_0039,ABplaa,ABplaap,ABplaaa,ABplaa|ABplaap|ABplaaa,105,258.0793384,258.2536251,15.91346245,1.0
LIN_0040,ABplap,ABplapa,ABplapp,ABplap|ABplapa|ABplapp,105,326.0579009,257.8614665,15.53303041,1.0
LIN_0041,ABplpa,ABplpaa,ABplpap,ABplpa|ABplpaa|ABplpap,105,335.8011011,232.2377926,15.91399846,1.0
LIN_0042,ABplpp,ABplppp,ABplppa,ABplpp|ABplppp|ABplppa,105,394.9387675,237.8356057,15.97618174,1.0
LIN_0043,ABpraa,ABpraaa,ABpraap,ABpraa|ABpraaa|ABpraap,105,373.3489071,277.6527735,14.93108575,1.0
LIN_0044,ABprap,ABprapp,ABprapa,ABprap|ABprapp|ABprapa,105,435.6021339,276.1747474,15.14102977,1.0
LIN_0045,ABprpa,ABprpaa,ABprpap,ABprpa|ABprpaa|ABprpap,105,423.971967,261.4306501,14.80598722,1.0
