Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
P0,422.07777778,248.31666666,14.326666666,AB,P1,0
AB,317.785053825,251.80042565,14.70036533625,ABa,ABp,17
P1,445.3393565,253.8605633875,15.23819611625,EMS,P2,18
ABa,251.1503696625,254.4083624875,15.06383718375,ABar,ABal,35
ABp,358.98412735,267.2765126875,14.87758774625,ABpr,ABpl,35
P2,489.6439353875,252.4161763,15.4385942575,C,P3,42
EMS,380.806094425,240.9462640375,15.0949706325,MS,E,39
ABal,223.0276970375,245.9936990875,15.47635926375,ABala,ABalp,50
ABar,285.0467059375,268.8158069875,15.18162948625,ABara,ABarp,50
ABpl,351.0989584875,254.3836405125,15.31050525,ABplp,ABpla,50
ABpr,410.7116492875,264.9469936375,14.93181156375,ABprp,ABpra,55
C,454.07863055,262.890848875,15.42513003375,Cp,Ca,70
P3,501.819885075,247.4435226625,15.54214668875,D,P4,68
E,432.6886088875,249.09343005,15.53709975125,Ep,Ea,58
MS,346.9338562875,243.0266701375,14.66644114375,MSp,MSa,58
ABala,213.12140965,257.4950707875,15.303375395,ABalaa,ABalap,68
ABalp,242.464728125,237.7061582625,15.527250415,ABalpp,ABalpa,68
ABara,298.0093306375,262.2539351625,14.688905605,ABarap,ABaraa,75
ABarp,329.2359091,277.3430934375,15.3806736825,ABarpp,ABarpa,68
ABpla,282.4308481625,257.285102425,15.58957578,ABplap,ABplaa,75
ABplp,353.5002455375,238.3328286875,15.6882521425,ABplpp,ABplpa,67
ABpra,399.7654673,272.58985375,14.9382634575,ABpraa,ABprap,75
ABprp,442.3363238875,256.029673575,14.8141148,ABprpa,ABprpp,75
Ca,398.6028986,259.4625688,15.24209138375,Cap,Caa,97
Cp,467.7115583,263.5736586375,15.45729870625,Cpa,Cpp,97
D,502.8339735625,248.3478592875,15.54572799125,Dp,Da,115
Ea,403.6561410875,249.6521681125,15.27480772125,Eal,Ear,110
Ep,445.7888371875,247.3436190125,15.22587999875,Epr,Epl,115
MSa,301.2879952375,237.4424445375,14.99291964375,MSap,MSaa,85
MSp,363.428951275,246.21360585,14.60027755125,MSpa,MSpp,85
P4,458.5687175625,237.6282943,15.21732716625,Z2,Z3,140
ABalaa,204.5349467875,255.8945048375,15.08994478375,ABalaaa,ABalaap,94
ABalap,229.9191832625,266.7367609,15.54799668875,ABalapa,ABalapp,92
ABalpa,219.065737325,239.1526388375,15.583602735,ABalpaa,ABalpap,105
ABalpp,271.5603695,235.9853221375,16.02553986,ABalppa,ABalppp,105
ABaraa,264.2091216375,259.877717325,14.78627388875,ABaraap,ABaraaa,105
ABarap,320.7283877625,266.8614433625,14.74722891375,ABarapa,ABarapp,105
ABarpa,296.4612039125,277.8054761125,15.3912325475,ABarpaa,ABarpap,105
ABarpp,369.4115119,277.735316825,15.47830264875,ABarppp,ABarppa,105
ABplaa,258.07933835,258.2536250875,15.9134624525,ABplaap,ABplaaa,105
ABplap,326.0579009,257.861466525,15.5330304075,ABplapa,ABplapp,105
ABplpa,335.8011011125,232.237792625,15.91399845625,ABplpaa,ABplpap,105
ABplpp,394.938767475,237.8356056875,15.976181735,ABplppp,ABplppa,105
ABpraa,373.348907075,277.652773475,14.93108575375,ABpraaa,ABpraap,105
ABprap,435.6021338875,276.174747425,15.14102977,ABprapp,ABprapa,105
ABprpa,423.971967,261.430650075,14.80598721875,ABprpaa,ABprpap,105
ABprpp,482.9915543625,260.7433145875,15.08752792375,ABprppa,ABprppp,105
Caa,379.5021826625,264.3335191875,15.34001518625,Caap,Caaa,133
Cap,435.6006471875,253.2647995625,15.5612545675,Capa,Capp,133
Cpa,462.25389285,268.633027675,15.66872919875,Cpap,Cpaa,133
Cpp,504.2286469,253.8497175625,15.72828956625,Cppa,Cppp,133
Da,463.00259315,236.2067770375,15.5706295225,Daa,Dap,165
Dp,482.323181025,243.179955275,14.8597933,Dpp,Dpa,165
Eal,371.7831744875,242.277175775,15.0777837375,Eala,Ealp,165
Ear,369.1362151875,257.102365675,14.5560316025,Eara,Earp,165
Epl,416.992742075,245.7332712625,15.04448888875,Eplp,Epla,170
Epr,448.9758524625,256.869949475,14.81277038,Epra,Eprp,170
MSaa,272.7210683875,237.32759495,14.97960123125,MSaaa,MSaap,115
MSap,329.15222215,234.529680075,14.86873361625,MSapa,MSapp,120
MSpa,324.281298975,244.4855799,14.650432595,MSpap,MSpaa,120
MSpp,390.809417,248.49255985,14.62691858,MSppa,MSppp,122
ABalaaa,197.0315137,257.065360475,14.9963821375,ABalaaaa,ABalaaap,122
ABalaap,227.3749115,248.2103345125,14.902155465,ABalaapa,ABalaapp,123
ABalapa,218.013403975,265.9387344375,15.456148715,ABalapaa,ABalapap,120
ABalapp,257.6543689375,257.991198125,15.124922645,ABalappp,ABalappa,121
ABalpaa,206.2655229,243.136808525,15.54148796375,ABalpaap,ABalpaaa,135
ABalpaa,210.375,253.0054348,15.6509058,ABalpaap,ABalpaaa,135
ABalpap,243.4659609,232.3277582125,15.38144682625,ABalpapp,ABalpapa,135
ABalppa,252.17963785,236.3270006125,16.044508115,ABalppap,ABalppaa,140
ABalppp,297.9082910375,231.8768665125,15.5921726875,ABalpppp,ABalpppa,135
ABaraaa,238.68885635,264.2361982,14.79585569875,ABaraaaa,ABaraaap,135
ABaraap,280.343927175,254.9510055125,14.70914243,ABaraapa,ABaraapp,135
ABarapa,291.4656385625,271.4315708375,14.59540302,ABarapaa,ABarapap,135
ABarapp,341.890843175,263.1233876125,14.53721085875,ABarappp,ABarappa,135
ABarpaa,267.4234513,276.6945018,15.35788739625,ABarpaap,ABarpaaa,135
ABarpap,309.9252427625,268.3152525375,14.86906399375,ABarpapp,ABarpapa,135
ABarppa,325.632145275,278.2309833375,15.59762392,ABarppap,ABarppaa,135
ABarppp,377.1299503125,276.469538,15.29821202375,ABarpppp,ABarpppa,135
ABplaaa,242.5593308375,261.8637689625,15.97431541125,ABplaaaa,ABplaaap,135
ABplaap,275.867215075,249.14910215,15.5849351025,ABplaapp,ABplaapa,135
ABplapa,301.5548422625,263.7251874625,15.47604456,ABplapaa,ABplapap,135
ABplapp,338.5804746875,249.6586411375,15.42439953125,ABplappa,ABplappp,135
ABplpaa,322.1385309375,232.522523975,16.01252389625,ABplpaaa,ABplpaap,135
ABplpap,371.7556097625,227.9442548125,15.63065621125,ABplpapa,ABplpapp,135
ABplppa,377.2385274375,239.3303456875,15.88335523125,ABplppaa,ABplppap,140
ABplppp,421.9675175625,233.5335466875,15.82439498625,ABplpppa,ABplpppp,140
ABpraaa,334.05210145,281.7111584375,14.92925855625,ABpraaap,ABpraaaa,135
ABpraap,381.2574613625,275.5720264375,14.84231974875,ABpraapa,ABpraapp,135
ABprapa,410.71077555,279.571275125,15.21380451625,ABprapaa,ABprapap,135
ABprapp,459.6128062,273.757030175,15.13553026375,ABprappa,ABprappp,135
ABprpaa,422.8970806375,273.422023175,14.67746395125,ABprpaaa,ABprpaap,135
ABprpap,457.2519570375,262.302041375,14.77928506,ABprpapa,ABprpapp,135
ABprppa,488.7970901,271.8132003375,14.917869115,ABprppaa,ABprppap,140
ABprppp,499.91637905,258.79575275,15.04657137125,ABprpppp,ABprpppa,140
Caaa,384.20487165,260.3205223,15.35676516625,Caaap,Caaaa,165
Caap,444.1258349375,250.9021263875,15.68253361,Caapp,Caapa,180
Capa,439.2218713375,244.3084386625,15.53393672125,Capaa,Capap,185
Capp,470.379308475,245.6898355125,15.75751713625,Cappa,Cappp,185
Cpaa,457.101685,270.3026369375,15.54642785125,Cpaap,Cpaaa,170
Cpap,484.77274675,256.1838534375,15.72318073125,Cpapp,Cpapa,175
Cppa,510.478642175,256.389901025,15.18598599625,Cppap,Cppaa,185
