Parent,Daughter 1,Daughter 2,Birth Time
P0,AB,P1,0.0
AB,ABa,ABp,17.0
P1,EMS,P2,18.0
ABa,ABar,ABal,35.0
ABp,ABpr,ABpl,35.0
EMS,MS,E,39.0
P2,C,P3,42.0
ABpl,ABplp,ABpla,50.0
ABar,ABara,ABarp,50.0
ABal,ABala,ABalp,50.0
ABpr,ABprp,ABpra,55.0
MS,MSp,MSa,58.0
E,Ep,Ea,58.0
ABplp,ABplpp,ABplpa,67.0
ABala,ABalaa,ABalap,68.0
ABalp,ABalpp,ABalpa,68.0
P3,D,P4,68.0
ABarp,ABarpp,ABarpa,68.0
C,Cp,Ca,70.0
ABara,ABarap,ABaraa,75.0
ABprp,ABprpa,ABprpp,75.0
ABpra,ABpraa,ABprap,75.0
ABpla,ABplap,ABplaa,75.0
MSp,MSpa,MSpp,85.0
MSa,MSap,MSaa,85.0
ABalap,ABalapa,ABalapp,92.0
ABalaa,ABalaaa,ABalaap,94.0
Ca,Cap,Caa,97.0
Cp,Cpa,Cpp,97.0
ABalpp,ABalppa,ABalppp,105.0
ABprpa,ABprpaa,ABprpap,105.0
ABplap,ABplapa,ABplapp,105.0
ABpraa,ABpraaa,ABpraap,105.0
ABarpa,ABarpaa,ABarpap,105.0
ABarap,ABarapa,ABarapp,105.0
ABaraa,ABaraap,ABaraaa,105.0
ABarpp,ABarppp,ABarppa,105.0
ABprpp,ABprppa,ABprppp,105.0
ABprap,ABprapp,ABprapa,105.0
ABplaa,ABplaap,ABplaaa,105.0
ABplpp,ABplppp,ABplppa,105.0
ABplpa,ABplpaa,ABplpap,105.0
ABalpa,ABalpaa,ABalpap,105.0
Ea,Eal,Ear,110.0
D,Dp,Da,115.0
MSaa,MSaaa,MSaap,115.0
Ep,Epr,Epl,115.0
ABalapa,ABalapaa,ABalapap,120.0
MSap,MSapa,MSapp,120.0
MSpa,MSpap,MSpaa,120.0
ABalapp,ABalappp,ABalappa,121.0
MSpp,MSppa,MSppp,122.0
ABalaaa,ABalaaaa,ABalaaap,122.0
ABalaap,ABalaapa,ABalaapp,123.0
Cap,Capa,Capp,133.0
Caa,Caap,Caaa,133.0
Cpa,Cpap,Cpaa,133.0
Cpp,Cppa,Cppp,133.0
ABprpaa,ABprpaaa,ABprpaap,135.0
