x,y,z,min_size,max_size,cell,mother
-36.85043627559895,-8.649357712611994,0.2509659188699476,48.0,100.0,AB,P0
-68.5860822086133,-0.3670610618942915,0.6367912777216225,41.0,95.0,ABa,AB
-108.17480274733384,-17.719923014756237,0.06164818007852502,42.0,86.0,ABal,ABa
-105.56045974190805,2.0428984053900163,0.38921600267819456,44.0,79.0,ABala,ABal
-114.50466678859028,-12.317578898488078,0.44838985846577295,34.0,73.0,ABalaa,ABala
-113.46241449701458,-16.82630871079711,-0.2586711047235185,36.0,65.0,ABalaaa,ABalaa
-118.85862958208415,-18.706710858008467,0.2804618222167057,34.0,54.0,ABalaaaa,ABalaaa
-116.65506322759434,-15.121306816140043,0.3557548141851589,26.0,45.0,ABalaaaal,ABalaaaa
-111.54591112508426,-15.547201954212303,0.8148229784931758,26.0,39.0,ABalaaaala,ABalaaaal
-99.8411140771138,-23.66897317192448,0.07902962055959674,26.0,38.0,ABalaaaalp,ABalaaaal
-129.20704675604847,0.4927131508210984,1.0816046070937755,26.0,47.0,ABalaaaar,ABalaaaa
-114.64779484055065,-6.317009989371307,1.72295488003691,26.0,38.0,ABalaaaarl,ABalaaaar
-106.03356263081282,8.851529336471387,1.0491721085013297,26.0,38.0,ABalaaaarr,ABalaaaar
-101.97126007422597,-6.784979375464778,-0.7865321741887858,32.0,57.0,ABalaaap,ABalaaa
-131.96612983752198,-2.7598960173716143,-0.4906238185716059,27.0,48.0,ABalaaapa,ABalaaap
-106.66106096817153,-11.214696292707092,0.259869017738615,26.0,40.0,ABalaaapal,ABalaaapa
-105.63613884979146,1.3990108724019419,0.22528957848627848,26.0,40.0,ABalaaapar,ABalaaapa
-105.96739533992645,-0.5443238862159386,-0.5358245868060066,26.0,48.0,ABalaaapp,ABalaaap
-118.19700036022913,2.6024345587641204,-0.07781533659429399,26.0,39.0,ABalaaappl,ABalaaapp
-103.94450866587694,6.8183814026179395,0.1387959590867691,26.0,40.0,ABalaaappr,ABalaaapp
-93.1513164624141,-28.98760093158092,0.7273086528379742,34.0,63.0,ABalaap,ABalaa
-85.76628129712373,-13.442858615264408,0.487849685013539,33.0,56.0,ABalaapa,ABalaap
-109.73666247940635,5.778973754353292,0.5543589759808102,26.0,45.0,ABalaapaa,ABalaapa
-83.76098339438406,1.8661405191333786,1.3941529378006743,26.0,38.0,ABalaapaaa,ABalaapaa
-62.55544979754612,7.277207712809268,1.8502794200141128,26.0,38.0,ABalaapaap,ABalaapaa
-88.29659543717905,12.096237127880935,0.24247806904845776,26.0,46.0,ABalaapap,ABalaapa
-63.43314304251625,14.89575506934289,0.5893117835316021,24.0,38.0,ABalaapapa,ABalaapap
-58.01584980943354,16.249138527989505,0.625026069245888,26.0,38.0,ABalaapapp,ABalaapap
