cell,fate,fate_id,method,purity,n_leaves,n_embryos
AB,mixed,11,founder,1.0,0,72
ABa,mixed,11,consensus,0.328,183,252
ABal,mixed,11,consensus,0.516,91,259
ABala,neuron,0,consensus,0.667,42,258
ABalaa,mixed,11,consensus,0.556,18,258
ABalaaa,mixed,11,consensus,0.5,10,258
ABalaaaa,neuron,0,consensus,0.75,4,258
ABalaaaal,mixed,11,consensus,0.5,2,257
ABalaaaala,neuron,0,consensus,1.0,1,233
ABalaaaalal,neuron,0,exact,1.0,1,1
ABalaaaalar,neuron,0,ancestor,1.0,1,1
ABalaaaalp,glia,5,consensus,1.0,1,233
ABalaaaalpa,glia,5,ancestor,1.0,1,2
ABalaaaalpaa,glia,5,ancestor,1.0,1,1
ABalaaaalpaaa,glia,5,ancestor,1.0,1,1
ABalaaaalpaap,glia,5,ancestor,1.0,1,1
ABalaaaalpap,glia,5,ancestor,1.0,1,1
ABalaaaalpp,glia,5,exact,1.0,1,2
ABalaaaalppa,glia,5,ancestor,1.0,1,1
ABalaaaalppp,glia,5,ancestor,1.0,1,1
ABalaaaar,neuron,0,consensus,1.0,2,257
ABalaaaarl,neuron,0,consensus,1.0,1,233
ABalaaaarla,neuron,0,ancestor,1.0,1,3
ABalaaaarlaa,neuron,0,ancestor,1.0,1,1
ABalaaaarlap,neuron,0,ancestor,1.0,1,1
ABalaaaarlapa,neuron,0,ancestor,1.0,1,1
ABalaaaarlapaa,neuron,0,ancestor,1.0,1,1
ABalaaaarlapap,neuron,0,ancestor,1.0,1,1
ABalaaaarlapp,neuron,0,ancestor,1.0,1,1
ABalaaaarlp,neuron,0,exact,1.0,1,3
ABalaaaarr,neuron,0,consensus,1.0,1,233
ABalaaaarra,neuron,0,ancestor,1.0,1,3
ABalaaaarraa,neuron,0,ancestor,1.0,1,1
ABalaaaarrap,neuron,0,ancestor,1.0,1,1
ABalaaaarrp,neuron,0,exact,1.0,1,3
ABalaaaarrpa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaaa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaaaa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaaap,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaap,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaapa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaaapp,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaap,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaapa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaaapp,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaap,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaapa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaapp,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaappa,neuron,0,ancestor,1.0,1,1
ABalaaaarrpaappp,neuron,0,ancestor,1.0,1,1
ABalaaaarrpap,neuron,0,ancestor,1.0,1,1
ABalaaaarrpp,neuron,0,ancestor,1.0,1,1
ABalaaaarrppa,neuron,0,ancestor,1.0,1,1
ABalaaaarrppp,neuron,0,ancestor,1.0,1,1
ABalaaap,glia,5,consensus,0.667,6,258
ABalaaapa,glia,5,consensus,0.667,3,257
ABalaaapal,mixed,11,consensus,0.5,2,233
ABalaaapall,glia,5,exact,1.0,1,3
ABalaaapalla,glia,5,ancestor,1.0,1,1
ABalaaapallaa,glia,5,ancestor,1.0,1,1
ABalaaapallaaa,glia,5,ancestor,1.0,1,1
ABalaaapallaap,glia,5,ancestor,1.0,1,1
ABalaaapallap,glia,5,ancestor,1.0,1,1
ABalaaapallp,glia,5,ancestor,1.0,1,1
ABalaaapallpa,glia,5,ancestor,1.0,1,1
ABalaaapallpaa,glia,5,ancestor,1.0,1,1
ABalaaapallpap,glia,5,ancestor,1.0,1,1
ABalaaapallpp,glia,5,ancestor,1.0,1,1
ABalaaapalr,neuron,0,exact,1.0,1,3
ABalaaapalra,neuron,0,ancestor,1.0,1,1
ABalaaapalrp,neuron,0,ancestor,1.0,1,1
ABalaaapalrpa,neuron,0,ancestor,1.0,1,1
ABalaaapalrpaa,neuron,0,ancestor,1.0,1,1
ABalaaapalrpap,neuron,0,ancestor,1.0,1,1
ABalaaapalrpp,neuron,0,ancestor,1.0,1,1
ABalaaapalrppa,neuron,0,ancestor,1.0,1,1
ABalaaapalrppp,neuron,0,ancestor,1.0,1,1
ABalaaapar,glia,5,consensus,1.0,1,233
ABalaaaparl,glia,5,ancestor,1.0,1,3
ABalaaaparla,glia,5,ancestor,1.0,1,1
ABalaaaparlp,glia,5,ancestor,1.0,1,1
ABalaaaparr,glia,5,exact,1.0,1,3
ABalaaaparra,glia,5,ancestor,1.0,1,1
ABalaaaparrp,glia,5,ancestor,1.0,1,1
ABalaaapp,glia,5,consensus,0.667,3,257
ABalaaappl,glia,5,consensus,1.0,1,233
ABalaaappll,glia,5,exact,1.0,1,2
ABalaaapplr,glia,5,ancestor,1.0,1,2
ABalaaappr,mixed,11,consensus,0.5,2,233
ABalaaapprl,neuron,0,exact,1.0,1,5
ABalaaapprla,neuron,0,ancestor,1.0,1,1
ABalaaapprlaa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaaa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaaaa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaaap,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaap,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaapa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaaapp,neuron,0,ancestor,1.0,1,1
ABalaaapprlaap,neuron,0,ancestor,1.0,1,1
ABalaaapprlaapa,neuron,0,ancestor,1.0,1,1
ABalaaapprlaapp,neuron,0,ancestor,1.0,1,1
ABalaaapprlap,neuron,0,ancestor,1.0,1,1
ABalaaapprlp,neuron,0,ancestor,1.0,1,1
ABalaaapprr,glia,5,exact,1.0,1,5
ABalaaapprra,glia,5,ancestor,1.0,1,2
ABalaaapprrp,glia,5,ancestor,1.0,1,2
ABalaaapprrpa,glia,5,ancestor,1.0,1,2
ABalaaapprrpp,glia,5,ancestor,1.0,1,2
ABalaap,neuron,0,consensus,0.625,8,258
ABalaapa,glia,5,consensus,0.667,3,258
ABalaapaa,mixed,11,consensus,0.5,2,256
ABalaapaaa,neuron,0,consensus,1.0,1,233
ABalaapaaal,neuron,0,ancestor,1.0,1,2
ABalaapaaar,neuron,0,exact,1.0,1,2
ABalaapaap,glia,5,consensus,1.0,1,233
ABalaapaapa,glia,5,ancestor,1.0,1,2
ABalaapaapp,glia,5,exact,1.0,1,2
ABalaapaappa,glia,5,ancestor,1.0,1,1
ABalaapaappp,glia,5,ancestor,1.0,1,1
ABalaapaapppa,glia,5,ancestor,1.0,1,1
ABalaapaapppaa,glia,5,ancestor,1.0,1,1
ABalaapaapppap,glia,5,ancestor,1.0,1,1
ABalaapaapppp,glia,5,ancestor,1.0,1,1
ABalaapaappppa,glia,5,ancestor,1.0,1,1
ABalaapaappppaa,glia,5,ancestor,1.0,1,1
ABalaapaappppap,glia,5,ancestor,1.0,1,1
ABalaapaappppapa,glia,5,ancestor,1.0,1,1
ABalaapaappppapp,glia,5,ancestor,1.0,1,1
ABalaapaappppp,glia,5,ancestor,1.0,1,1
ABalaapaapppppa,glia,5,ancestor,1.0,1,1
ABalaapaapppppp,glia,5,ancestor,1.0,1,1
ABalaapap,glia,5,consensus,1.0,1,256
ABalaapapa,glia,5,ancestor,1.0,1,232
ABalaapapaa,glia,5,ancestor,1.0,1,1
ABalaapapaaa,glia,5,ancestor,1.0,1,1
ABalaapapaap,glia,5,ancestor,1.0,1,1
ABalaapapaapa,glia,5,ancestor,1.0,1,1
ABalaapapaapp,glia,5,ancestor,1.0,1,1
ABalaapapap,glia,5,ancestor,1.0,1,1
ABalaapapp,glia,5,consensus,1.0,1,232
ABalaapappa,glia,5,ancestor,1.0,1,1
ABalaapappp,glia,5,exact,1.0,1,1
ABalaapapppa,glia,5,ancestor,1.0,1,1
ABalaapapppaa,glia,5,ancestor,1.0,1,1
ABalaapapppap,glia,5,ancestor,1.0,1,1
ABalaapapppp,glia,5,ancestor,1.0,1,1
ABalaapp,neuron,0,consensus,0.8,5,258
ABalaappa,mixed,11,consensus,0.5,2,256
ABalaappaa,mixed,11,ancestor,0.5,2,232
ABalaappaaa,mixed,11,ancestor,0.5,2,1
ABalaappaaaa,mixed,11,ancestor,0.5,2,1
ABalaappaaaaa,mixed,11,ancestor,0.5,2,1
ABalaappaaaap,mixed,11,ancestor,0.5,2,1
ABalaappaaaapa,mixed,11,ancestor,0.5,2,1
ABalaappaaaapp,mixed,11,ancestor,0.5,2,1
ABalaappaaap,mixed,11,ancestor,0.5,2,1
ABalaappaap,mixed,11,ancestor,0.5,2,1
ABalaappaapa,mixed,11,ancestor,0.5,2,1
ABalaappaapaa,mixed,11,ancestor,0.5,2,1
ABalaappaapap,mixed,11,ancestor,0.5,2,1
ABalaappaapp,mixed,11,ancestor,0.5,2,1
ABalaappap,mixed,11,consensus,0.5,2,232
ABalaappapa,neuron,0,exact,1.0,1,2
ABalaappapaa,neuron,0,ancestor,1.0,1,1
ABalaappapaaa,neuron,0,ancestor,1.0,1,1
ABalaappapaaaa,neuron,0,ancestor,1.0,1,1
ABalaappapaaap,neuron,0,ancestor,1.0,1,1
ABalaappapaaapa,neuron,0,ancestor,1.0,1,1
ABalaappapaaapaa,neuron,0,ancestor,1.0,1,1
ABalaappapaaapap,neuron,0,ancestor,1.0,1,1
ABalaappapaaapp,neuron,0,ancestor,1.0,1,1
ABalaappapaap,neuron,0,ancestor,1.0,1,1
ABalaappapaapa,neuron,0,ancestor,1.0,1,1
ABalaappapaapaa,neuron,0,ancestor,1.0,1,1
ABalaappapaapap,neuron,0,ancestor,1.0,1,1
ABalaappapaapp,neuron,0,ancestor,1.0,1,1
ABalaappapap,neuron,0,ancestor,1.0,1,1
ABalaappapp,glia,5,exact,1.0,1,2
ABalaappappa,glia,5,ancestor,1.0,1,2
ABalaappappaa,glia,5,ancestor,1.0,1,1
ABalaappappaaa,glia,5,ancestor,1.0,1,1
ABalaappappaap,glia,5,ancestor,1.0,1,1
ABalaappappap,glia,5,ancestor,1.0,1,1
ABalaappappp,glia,5,ancestor,1.0,1,2
ABalaappp,neuron,0,consensus,1.0,3,256
ABalaapppa,neuron,0,consensus,1.0,1,232
ABalaapppaa,neuron,0,exact,1.0,1,1
