cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABal:1,ABal,1,27011,2011,-1333,-1354,2011,17.4,199,404,59,800708
ABal:2,ABal,2,27712,2712,-1524,-1557,2712,17.1,206,389,79,2226757
ABal:3,ABal,3,27484,2484,-2021,-2037,2484,16.7,209,379,79,2147926
ABal:4,ABal,4,27772,2772,-1932,-1932,2772,16.1,216,384,73,1465822
ABal:5,ABal,5,28034,3034,-1236,-1236,3034,16.2,228,393,61,1046221
ABala:6,ABala,6,28426,3426,-500,-529,3421,19.5,231,415,57,641953
ABala:7,ABala,7,28285,3285,-795,-791,3285,17.1,228,436,59,640365
ABala:8,ABala,8,28367,3367,-654,-655,3367,15.9,220,434,62,843305
ABala:9,ABala,9,27477,2477,-1918,-1908,2477,14.7,212,433,63,905759
ABala:10,ABala,10,27882,2882,-1165,-1203,2880,15.2,199,428,65,1120238
ABala:11,ABala,11,27203,2203,-2230,-2230,2203,15.6,213,435,63,1101395
ABala:12,ABala,12,27572,2572,-1986,-1986,2572,15.5,231,450,64,1254459
ABala:13,ABala,13,27741,2741,-1765,-1765,2741,15.4,244,458,64,1410424
ABala:14,ABala,14,27651,2651,-2029,-2029,2651,16.2,255,471,67,1573033
ABala:15,ABala,15,27686,2686,-1578,-1578,2686,16.4,263,476,67,1646389
ABala:16,ABala,16,27450,2450,-1901,-1901,2450,16.7,264,471,64,1605615
ABala:17,ABala,17,27215,2215,-2105,-2105,2215,16.7,266,475,68,1742277
ABala:18,ABala,18,27559,2559,-1964,-1964,2559,17.8,263,469,62,1074974
ABala:19,ABala,19,28109,3109,-1431,-1431,3109,16.6,261,452,58,1036490
ABalaa:20,ABalaa,20,28123,3123,-1527,-1554,3112,14.3,258,472,48,554510
ABalaa:21,ABalaa,21,27846,2846,-1869,-1869,2845,14.1,268,474,49,516965
ABalaa:22,ABalaa,22,28298,3298,-1039,-1039,3298,14.0,263,475,50,561988
ABalaa:23,ABalaa,23,28512,3512,-1820,-1820,3512,13.0,271,483,55,691286
ABalaa:24,ABalaa,24,27544,2544,-3484,-3484,2544,12.5,272,485,56,798991
ABalaa:25,ABalaa,25,27947,2947,-3112,-3112,2947,12.3,263,478,56,882184
ABalaa:26,ABalaa,26,27908,2908,-3356,-3356,2908,12.0,262,475,56,920475
ABalaa:27,ABalaa,27,28468,3468,-2890,-2890,3468,11.5,271,472,56,915924
ABalaa:28,ABalaa,28,27676,2676,-3724,-3724,2676,11.7,278,474,56,938117
ABalaa:29,ABalaa,29,28100,3100,-2652,-2652,3100,12.2,293,472,57,975959
ABalaa:30,ABalaa,30,27777,2777,-3397,-3397,2777,12.0,302,473,59,1070161
ABalaa:31,ABalaa,31,27360,2360,-3277,-3283,2360,12.7,304,473,58,1059673
ABalaa:32,ABalaa,32,28135,3135,-3257,-3257,3135,12.0,303,472,58,1120050
ABalaa:33,ABalaa,33,27559,2559,-3131,-3131,2559,12.9,292,479,57,1055148
ABalaa:34,ABalaa,34,27625,2625,-3158,-3158,2625,12.9,296,476,58,1115642
ABalaa:35,ABalaa,35,27681,2681,-2215,-2215,2681,13.7,290,484,58,1080851
ABalaa:36,ABalaa,36,27852,2852,-1984,-1984,2852,13.8,290,486,58,1106242
ABalaa:37,ABalaa,37,27801,2801,-2105,-2105,2801,14.0,290,485,58,1172431
ABalaa:38,ABalaa,38,27856,2856,-1435,-1438,2856,14.8,289,484,58,1157228
ABalaa:39,ABalaa,39,26825,1825,-2487,-2487,1825,14.6,291,481,58,1156439
ABalaa:40,ABalaa,40,27821,2821,-2238,-2238,2821,13.9,287,477,57,903923
ABalaa:41,ABalaa,41,28300,3300,-1889,-1889,3300,13.0,281,474,55,814320
ABalaaa:42,ABalaaa,42,28540,3540,-845,-838,3535,15.0,271,487,51,532537
ABalaaa:43,ABalaaa,43,28327,3327,-1108,-1113,3327,15.8,270,488,52,570582
ABalaaa:44,ABalaaa,44,28257,3257,-1403,-1308,3257,15.0,271,488,52,589231
ABalaaa:45,ABalaaa,45,28206,3206,-649,-649,3206,15.9,271,490,53,567509
ABalaaa:46,ABalaaa,46,29363,4363,204,208,4363,16.0,271,492,53,505901
ABalaaa:47,ABalaaa,47,28506,3506,-833,-920,3504,16.1,270,492,53,561602
ABalaaa:48,ABalaaa,48,28074,3074,-1191,-1289,3068,16.8,282,491,52,584716
ABalaaa:49,ABalaaa,49,28329,3329,-892,-1014,3307,16.8,275,491,51,557288
ABalaaa:50,ABalaaa,50,28651,3651,-550,-595,3644,16.8,279,492,51,526711
ABalaaa:51,ABalaaa,51,28280,3280,-945,-911,3272,17.0,275,492,51,555349
ABalaaa:52,ABalaaa,52,27817,2817,-1603,-1654,2811,17.1,271,491,51,600404
ABalaaa:53,ABalaaa,53,27477,2477,-1973,-2012,2473,18.1,264,491,51,578297
ABalaaa:54,ABalaaa,54,27271,2271,-1593,-1627,2264,18.1,259,490,51,628502
ABalaaa:55,ABalaaa,55,27903,2903,-1141,-1268,2897,17.2,260,489,51,659971
ABalaaa:56,ABalaaa,56,28683,3683,-39,-67,3677,17.9,253,489,52,726767
ABalaaa:57,ABalaaa,57,27608,2608,-1481,-1483,2604,18.0,248,489,52,773794
ABalaaa:58,ABalaaa,58,27901,2901,-1301,-1336,2890,17.2,260,490,51,691777
ABalaaa:59,ABalaaa,59,28163,3163,-786,-806,3155,17.2,250,489,51,701723
ABalaaa:60,ABalaaa,60,28424,3424,-830,-866,3421,16.9,246,490,51,693203
ABalaaa:61,ABalaaa,61,28025,3025,-1405,-1439,3023,16.2,245,489,51,758668
ABalaaa:62,ABalaaa,62,27849,2849,-1336,-1331,2847,15.9,249,489,51,759153
ABalaaa:63,ABalaaa,63,28455,3455,-664,-672,3455,15.9,247,487,50,804273
ABalaaa:64,ABalaaa,64,27752,2752,-1523,-1527,2752,15.4,257,484,49,638779
ABalaaa:65,ABalaaa,65,27818,2818,-1639,-1641,2818,15.2,253,477,44,560795
ABalaaaa:66,ABalaaaa,66,28548,3548,-1686,-1686,3485,11.4,250,471,34,231807
ABalaaaa:67,ABalaaaa,67,30085,5085,-1286,-1328,5069,10.9,251,471,42,365573
ABalaaaa:68,ABalaaaa,68,29123,4123,-2415,-2455,4119,10.9,249,473,43,353542
ABalaaaa:69,ABalaaaa,69,28996,3996,-2515,-2547,3982,10.9,247,472,44,390363
ABalaaaa:70,ABalaaaa,70,30553,5553,-1132,-1281,5539,10.1,254,469,44,391785
ABalaaaa:71,ABalaaaa,71,31927,6927,209,178,6919,10.1,252,466,44,415142
ABalaaaa:72,ABalaaaa,72,32550,7550,-181,-180,7542,9.2,256,464,42,373798
ABalaaaa:73,ABalaaaa,73,32032,7032,-758,-793,7015,10.0,262,465,44,433093
ABalaaaa:74,ABalaaaa,74,30840,5840,-1314,-1387,5824,10.1,265,469,44,457239
ABalaaaa:75,ABalaaaa,75,32156,7156,234,169,7138,10.1,283,474,43,409092
ABalaaaa:76,ABalaaaa,76,28629,3629,-2920,-3021,3606,10.9,279,475,43,424041
ABalaaaa:77,ABalaaaa,77,28625,3625,-2718,-2859,3614,10.9,283,476,44,463703
ABalaaaa:78,ABalaaaa,78,29687,4687,-2448,-2605,4665,10.9,284,481,44,490080
ABalaaaa:79,ABalaaaa,79,29608,4608,-2041,-2191,4593,10.9,289,477,44,481465
ABalaaaa:80,ABalaaaa,80,28976,3976,-2281,-2508,3922,11.0,278,483,44,500653
ABalaaaa:81,ABalaaaa,81,30068,5068,-2103,-2403,4979,11.1,277,482,44,513717
ABalaaaa:82,ABalaaaa,82,29073,4073,-1930,-2055,3957,11.9,267,484,44,498629
ABalaaaa:83,ABalaaaa,83,28689,3689,-1942,-2045,3625,12.1,263,486,44,518901
ABalaaaa:84,ABalaaaa,84,28734,3734,-592,-521,3667,13.1,262,491,44,493115
ABalaaaa:85,ABalaaaa,85,28881,3881,-76,0,3791,15.0,252,491,44,487530
ABalaaaa:86,ABalaaaa,86,27442,2442,-1430,-1151,2331,16.9,245,489,44,429778
ABalaaaa:87,ABalaaaa,87,28278,3278,-812,-664,3141,18.1,235,485,44,420160
ABalaaaa:88,ABalaaaa,88,28016,3016,-99,-30,2798,19.0,227,482,43,382814
ABalaaaa:89,ABalaaaa,89,27963,2963,-849,-779,2689,20.1,220,472,42,371615
ABalaaaa:90,ABalaaaa,90,28881,3881,66,138,3771,20.2,225,478,43,387774
ABalaaaa:91,ABalaaaa,91,28894,3894,175,418,3618,20.1,226,478,44,461376
ABalaaaa:92,ABalaaaa,92,28233,3233,-279,-291,3212,21.0,221,476,42,429383
ABalaaaa:93,ABalaaaa,93,28711,3711,-108,-90,3443,23.1,234,466,42,432340
ABalaaaa:94,ABalaaaa,94,28990,3990,317,317,3935,21.9,236,467,38,355028
ABalaaaa:95,ABalaaaa,95,27563,2563,-759,-655,2334,22.1,243,472,42,411929
ABalaaaa:96,ABalaaaa,96,29205,4205,623,614,4030,20.3,241,471,39,362489
ABalaaaa:97,ABalaaaa,97,28516,3516,-518,-203,1333,19.4,227,465,39,359429
ABalaaaa:98,ABalaaaa,98,29318,4318,254,493,758,19.3,226,466,38,401891
ABalaaaal:99,ABalaaaal,99,27568,2568,-857,-850,2149,22.9,225,454,36,285500
ABalaaaal:100,ABalaaaal,100,27804,2804,-1402,-1560,1056,23.1,222,444,37,282099
ABalaaaal:101,ABalaaaal,101,28840,3840,-422,-189,2800,23.1,223,437,35,240097
ABalaaaal:102,ABalaaaal,102,28427,3427,-411,-331,2798,23.9,217,434,36,275885
ABalaaaal:103,ABalaaaal,103,28804,3804,-789,-496,2166,23.1,213,426,40,327515
ABalaaaal:104,ABalaaaal,104,28149,3149,-637,-607,2779,22.9,213,416,36,277790
ABalaaaal:105,ABalaaaal,105,29455,4455,-84,78,3468,22.0,214,424,36,280749
ABalaaaal:106,ABalaaaal,106,29055,4055,-820,-366,2982,20.4,211,423,40,324917
ABalaaaal:107,ABalaaaal,107,29098,4098,-365,-101,3343,20.2,209,423,38,313359
ABalaaaal:108,ABalaaaal,108,28869,3869,-685,-88,2456,20.0,207,417,38,350062
ABalaaaal:109,ABalaaaal,109,28895,3895,-831,-781,2554,20.1,199,422,40,386865
ABalaaaal:110,ABalaaaal,110,28505,3505,-1620,-1228,2148,20.1,201,420,38,360783
ABalaaaal:111,ABalaaaal,111,29258,4258,-513,-282,3118,20.0,195,416,38,371747
ABalaaaal:112,ABalaaaal,112,28783,3783,-578,-703,3363,20.1,189,419,36,334026
ABalaaaal:113,ABalaaaal,113,29249,4249,-97,46,3446,19.5,195,424,38,340133
ABalaaaal:114,ABalaaaal,114,28700,3700,-257,-279,2930,20.0,190,425,38,398879
ABalaaaal:115,ABalaaaal,115,27837,2837,-2260,-2115,1925,19.2,194,420,38,412526
ABalaaaal:116,ABalaaaal,116,29576,4576,60,-111,3376,19.2,185,410,38,414331
ABalaaaal:117,ABalaaaal,117,28792,3792,-985,-754,2084,19.1,181,407,38,425218
ABalaaaal:118,ABalaaaal,118,28038,3038,-1242,-1194,2077,18.8,179,411,36,408525
ABalaaaal:119,ABalaaaal,119,29350,4350,276,163,3377,19.0,182,407,36,398336
ABalaaaal:120,ABalaaaal,120,29021,4021,-524,-560,2234,18.9,184,411,36,394364
ABalaaaal:121,ABalaaaal,121,28018,3018,-874,-936,1957,18.9,183,410,36,382857
ABalaaaal:122,ABalaaaal,122,29806,4806,-14,45,3777,18.3,185,420,40,447552
ABalaaaal:123,ABalaaaal,123,28983,3983,-504,-623,2921,19.1,185,421,38,460422
ABalaaaal:124,ABalaaaal,124,30424,5424,1215,1316,4582,18.1,182,423,36,402066
ABalaaaal:125,ABalaaaal,125,28122,3122,-1375,-1153,2171,17.3,180,418,38,421689
ABalaaaal:126,ABalaaaal,126,28630,3630,-1044,-964,2906,17.1,173,423,38,405232
ABalaaaal:127,ABalaaaal,127,29029,4029,-627,-554,2429,17.3,178,420,38,362766
ABalaaaal:128,ABalaaaal,128,28067,3067,-1439,-1240,1866,17.3,172,423,39,378006
ABalaaaal:129,ABalaaaal,129,29636,4636,-5,-298,2188,17.3,169,425,29,166121
ABalaaaal:130,ABalaaaal,130,29762,4762,332,43,2735,18.1,173,423,29,179389
ABalaaaal:131,ABalaaaal,131,29148,4148,-918,-1183,16,18.1,173,423,29,179389
ABalaaaal:132,ABalaaaal,132,29333,4333,-558,-357,36,18.1,169,408,38,437035
ABalaaaal:133,ABalaaaal,133,29099,4099,-896,-299,-184,17.0,170,404,38,470078
ABalaaaal:134,ABalaaaal,134,28058,3058,-1271,-1172,895,17.2,172,407,38,406359
ABalaaaal:135,ABalaaaal,135,28372,3372,-1196,-1115,1570,17.2,171,416,36,388797
ABalaaaala:136,ABalaaaala,136,28780,3780,-573,-452,-734,18.0,178,427,34,274951
ABalaaaala:137,ABalaaaala,137,28610,3610,-2753,-2292,-1749,18.0,183,432,34,282280
ABalaaaala:138,ABalaaaala,138,31078,6078,-1414,-1290,-2867,17.3,182,431,36,304719
ABalaaaala:139,ABalaaaala,139,30287,5287,-592,-1028,-1034,18.0,176,421,34,293043
ABalaaaala:140,ABalaaaala,140,29181,4181,-711,-1017,-2216,18.0,172,422,34,297412
ABalaaaala:141,ABalaaaala,141,32123,7123,450,3222,-2990,17.1,167,422,38,415971
ABalaaaala:142,ABalaaaala,142,32956,7956,736,2778,-571,16.2,166,424,38,390115
ABalaaaala:143,ABalaaaala,143,32772,7772,1196,2766,-294,16.2,168,417,36,371953
ABalaaaala:144,ABalaaaala,144,29423,4423,-1186,-733,1652,16.9,166,414,34,325043
ABalaaaala:145,ABalaaaala,145,30080,5080,-1457,-780,96,16.2,167,405,36,374681
ABalaaaala:146,ABalaaaala,146,31445,6445,-93,-83,3803,16.3,170,398,36,362209
ABalaaaala:147,ABalaaaala,147,29662,4662,-804,-654,1659,16.3,170,398,36,362209
ABalaaaala:148,ABalaaaala,148,30788,5788,69,-278,3642,16.2,170,398,36,362209
ABalaaaala:149,ABalaaaala,149,29328,4328,-524,-721,2841,16.2,170,398,36,362209
ABalaaaala:150,ABalaaaala,150,29406,4406,-1763,-1030,2239,16.1,171,399,36,395295
ABalaaaala:151,ABalaaaala,151,29689,4689,-2391,-1585,1040,16.4,170,393,29,184252
ABalaaaala:152,ABalaaaala,152,30845,5845,119,-640,3948,16.3,170,393,30,184252
ABalaaaala:153,ABalaaaala,153,28892,3892,-1124,-1132,2242,16.2,170,394,31,184252
ABalaaaala:154,ABalaaaala,154,28676,3676,-2036,-2127,38,16.1,171,394,32,184252
ABalaaaala:155,ABalaaaala,155,29119,4119,-1453,-2051,2283,16.0,171,395,33,184252
ABalaaaala:156,ABalaaaala,156,29509,4509,-364,-305,1994,15.9,172,396,34,326865
ABalaaaala:157,ABalaaaala,157,29614,4614,150,17,2656,15.9,176,393,34,308303
ABalaaaala:158,ABalaaaala,158,28482,3482,-1558,-1065,269,14.9,171,390,34,318831
ABalaaaala:159,ABalaaaala,159,29151,4151,-678,-545,568,13.9,168,387,34,355504
ABalaaaala:160,ABalaaaala,160,28965,3965,-2399,-1318,-1235,12.4,171,388,34,370770
ABalaaaalp:136,ABalaaaalp,136,28159,3159,-1388,-1066,1473,15.9,158,395,34,269029
ABalaaaalp:137,ABalaaaalp,137,29998,4998,163,780,1942,16.1,159,389,34,264475
ABalaaaalp:138,ABalaaaalp,138,28989,3989,11,175,1377,17.1,162,383,34,276197
ABalaaaalp:139,ABalaaaalp,139,29102,4102,-1073,-345,933,16.7,166,379,35,276197
ABalaaaalp:140,ABalaaaalp,140,29480,4480,-596,-157,232,16.2,171,375,36,389045
ABalaaaalp:141,ABalaaaalp,141,29242,4242,-411,-44,-17,15.4,160,370,36,356347
ABalaaaalp:142,ABalaaaalp,142,28718,3718,-1523,-1547,-760,15.4,160,370,36,356347
ABalaaaalp:143,ABalaaaalp,143,29032,4032,-700,-173,-3100,16.0,165,363,36,412852
ABalaaaalp:144,ABalaaaalp,144,29632,4632,-12,153,-3623,16.0,165,363,36,412852
ABalaaaalp:145,ABalaaaalp,145,28564,3564,-129,74,1839,16.1,163,351,36,438502
ABalaaaalp:146,ABalaaaalp,146,29106,4106,-207,26,2188,16.1,164,349,36,427033
ABalaaaalp:147,ABalaaaalp,147,27903,2903,-727,-267,1974,17.0,162,358,34,362127
ABalaaaalp:148,ABalaaaalp,148,28985,3985,597,885,2470,16.6,162,358,34,362127
ABalaaaalp:149,ABalaaaalp,149,29221,4221,451,588,756,16.2,162,358,34,362127
ABalaaaalp:150,ABalaaaalp,150,28011,3011,-654,-477,2137,15.9,162,358,35,362127
ABalaaaalp:151,ABalaaaalp,151,28939,3939,-532,-718,984,15.5,162,358,35,362127
ABalaaaalp:152,ABalaaaalp,152,30380,5380,893,1210,1401,15.1,161,358,36,448336
ABalaaaalp:153,ABalaaaalp,153,28161,3161,-1477,-1133,-540,15.1,163,361,36,455251
ABalaaaalp:154,ABalaaaalp,154,28507,3507,-1326,-709,-411,15.1,161,362,36,460037
ABalaaaalp:155,ABalaaaalp,155,29374,4374,-1124,-1205,-163,14.3,166,360,36,418013
ABalaaaalp:156,ABalaaaalp,156,29277,4277,-1118,-217,-1798,14.3,166,356,36,418400
ABalaaaalp:157,ABalaaaalp,157,29860,4860,-168,170,1013,14.1,167,354,36,418400
ABalaaaalp:158,ABalaaaalp,158,28751,3751,-1857,-1329,-3411,14.0,169,352,36,418400
ABalaaaalp:159,ABalaaaalp,159,29516,4516,-824,-522,491,13.8,171,350,36,418400
ABalaaaalp:160,ABalaaaalp,160,29339,4339,-603,-88,536,13.6,172,348,36,418400
ABalaaaar:99,ABalaaaar,99,31141,6141,974,2160,-389,18.0,222,476,36,339746
ABalaaaar:100,ABalaaaar,100,32275,7275,2028,2752,4187,19.1,225,484,37,339760
ABalaaaar:101,ABalaaaar,101,31829,6829,786,1546,1457,19.0,217,486,35,290920
ABalaaaar:102,ABalaaaar,102,34566,9566,4034,5930,1067,18.0,217,483,38,368442
ABalaaaar:103,ABalaaaar,103,31051,6051,251,2230,-6218,17.9,209,480,36,352952
ABalaaaar:104,ABalaaaar,104,32297,7297,1416,3475,-1693,17.0,203,473,38,388969
ABalaaaar:105,ABalaaaar,105,32767,7767,1670,3308,-23027,17.1,210,479,38,396187
ABalaaaar:106,ABalaaaar,106,30865,5865,695,1951,-2935,17.1,209,478,36,372010
ABalaaaar:107,ABalaaaar,107,31386,6386,156,2067,-2914,17.0,205,476,38,400221
ABalaaaar:108,ABalaaaar,108,30967,5967,-190,1119,-5349,17.0,208,476,36,372577
ABalaaaar:109,ABalaaaar,109,30836,5836,786,1849,-220,17.2,207,478,38,396756
ABalaaaar:110,ABalaaaar,110,30060,5060,-24,977,802,18.0,198,470,36,386278
ABalaaaar:111,ABalaaaar,111,29927,4927,-277,1256,564,18.1,195,462,40,443029
ABalaaaar:112,ABalaaaar,112,28448,3448,-1864,-1148,752,17.9,193,460,36,371791
ABalaaaar:113,ABalaaaar,113,30965,5965,895,1837,1696,17.0,197,463,36,379338
ABalaaaar:114,ABalaaaar,114,29736,4736,272,845,2366,17.1,197,465,36,388168
ABalaaaar:115,ABalaaaar,115,30076,5076,-515,1141,928,17.1,198,464,38,449351
ABalaaaar:116,ABalaaaar,116,28743,3743,-1642,-547,1883,17.0,191,451,38,451765
ABalaaaar:117,ABalaaaar,117,30667,5667,-316,1283,2672,16.3,191,453,40,430136
ABalaaaar:118,ABalaaaar,118,28865,3865,-969,-439,2493,17.0,193,455,36,400255
ABalaaaar:119,ABalaaaar,119,30827,5827,398,2170,1289,16.2,192,452,40,487839
ABalaaaar:120,ABalaaaar,120,29363,4363,-1656,-112,202,17.0,197,459,38,448398
ABalaaaar:121,ABalaaaar,121,28684,3684,-1631,-1076,828,17.9,200,457,36,418443
ABalaaaar:122,ABalaaaar,122,30686,5686,92,1970,-1749,17.2,214,470,38,464404
ABalaaaar:123,ABalaaaar,123,30061,5061,-56,995,-206,18.0,210,469,36,441554
ABalaaaar:124,ABalaaaar,124,30936,5936,327,1991,618,17.3,209,472,40,496138
ABalaaaar:125,ABalaaaar,125,29150,4150,-2278,-546,-486,17.2,206,476,40,521571
ABalaaaar:126,ABalaaaar,126,29177,4177,-1971,-546,-1714,18.0,200,477,36,398915
ABalaaaar:127,ABalaaaar,127,29744,4744,-1499,126,1524,18.2,201,474,40,461971
ABalaaaar:128,ABalaaaar,128,29194,4194,-2008,-486,641,18.3,198,474,39,419990
ABalaaaar:129,ABalaaaar,129,29837,4837,-1610,-120,836,18.2,202,477,39,457429
ABalaaaar:130,ABalaaaar,130,29500,4500,-2643,-1713,440,18.0,211,480,39,456525
ABalaaaar:131,ABalaaaar,131,29763,4763,-3214,-741,-680,17.3,208,483,38,426950
ABalaaaar:132,ABalaaaar,132,29055,4055,-2050,-663,129,17.1,195,474,38,448266
ABalaaaar:133,ABalaaaar,133,28429,3429,-1646,-1348,627,16.1,194,474,36,399013
ABalaaaar:134,ABalaaaar,134,29503,4503,-1319,-762,2534,17.3,204,479,38,426975
ABalaaaar:135,ABalaaaar,135,29796,4796,-691,-156,3148,17.5,205,485,36,372916
ABalaaaar:136,ABalaaaar,136,29004,4004,-2394,-1771,1107,17.1,214,473,34,317151
ABalaaaar:137,ABalaaaar,137,29227,4227,-986,-888,2267,18.0,212,475,34,320152
ABalaaaarl:138,ABalaaaarl,138,31180,6180,-379,-897,-2259,18.3,198,463,29,172435
ABalaaaarl:139,ABalaaaarl,139,32169,7169,619,499,495,18.1,189,457,29,194328
ABalaaaarl:140,ABalaaaarl,140,32449,7449,1544,1328,1322,18.1,189,457,29,192526
ABalaaaarl:141,ABalaaaarl,141,35451,10451,2713,5497,-1116,17.1,185,450,34,316411
ABalaaaarl:142,ABalaaaarl,142,30329,5329,-441,-53,-2337,17.9,181,449,34,323702
ABalaaaarl:143,ABalaaaarl,143,31480,6480,633,1580,829,17.0,179,451,34,323397
ABalaaaarl:144,ABalaaaarl,144,30023,5023,-1793,317,-7124,17.0,183,451,34,329801
ABalaaaarl:145,ABalaaaarl,145,29064,4064,-2985,-1356,-7986,17.0,179,445,34,325355
ABalaaaarl:146,ABalaaaarl,146,30027,5027,-1669,225,-3890,17.0,181,444,34,334576
ABalaaaarl:147,ABalaaaarl,147,29662,4662,-961,-333,-1867,16.9,186,450,34,335204
ABalaaaarl:148,ABalaaaarl,148,31154,6154,-2167,442,-3412,16.3,185,449,36,381230
ABalaaaarl:149,ABalaaaarl,149,29579,4579,-2055,15,-2219,17.0,187,450,34,336069
ABalaaaarl:150,ABalaaaarl,150,31043,6043,-1597,701,-2800,17.1,191,453,36,408215
ABalaaaarl:151,ABalaaaarl,151,30404,5404,-2287,507,-5631,17.0,186,447,34,346104
ABalaaaarl:152,ABalaaaarl,152,32860,7860,-342,2800,-903,16.2,188,453,36,396576
ABalaaaarl:153,ABalaaaarl,153,32160,7160,-1111,1093,-2511,16.2,196,456,29,212752
ABalaaaarl:154,ABalaaaarl,154,31307,6307,-1186,1911,-3851,16.2,196,457,36,399586
ABalaaaarl:155,ABalaaaarl,155,31250,6250,-1363,1608,-1317,15.3,194,453,36,375183
ABalaaaarl:156,ABalaaaarl,156,31209,6209,-2200,1609,-5258,16.0,192,452,36,374980
ABalaaaarl:157,ABalaaaarl,157,30337,5337,-1236,7,922,16.0,189,444,34,303918
ABalaaaarl:158,ABalaaaarl,158,29698,4698,-2625,-1120,-2322,16.0,190,439,34,313219
ABalaaaarl:159,ABalaaaarl,159,30490,5490,-1257,365,1076,15.9,190,442,34,313371
ABalaaaarl:160,ABalaaaarl,160,30059,5059,-2750,46,-415,15.2,191,439,34,306878
ABalaaaarr:138,ABalaaaarr,138,29411,4411,59,126,3533,17.8,224,488,34,252870
ABalaaaarr:139,ABalaaaarr,139,28358,3358,-568,-528,2358,17.0,230,490,34,258743
