cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,23570,-1430,6,6,-1430,12.3,177,254,84,4224852
ABa:2,ABa,2,23764,-1236,-273,-273,-1236,13.3,185,231,87,4577704
ABa:3,ABa,3,23168,-1832,-469,-469,-1832,13.1,184,229,83,2122148
ABa:4,ABa,4,23446,-1554,-37,-37,-1554,13.0,212,245,85,1908986
ABal:5,ABal,5,23612,-1388,55,43,-1388,12.2,194,272,85,1619467
ABal:6,ABal,6,23572,-1428,88,94,-1428,13.2,192,292,71,1554662
ABal:7,ABal,7,23218,-1782,-292,-292,-1782,11.5,173,298,74,2299381
ABal:8,ABal,8,23335,-1665,-465,-465,-1665,9.8,176,306,77,2735527
ABal:9,ABal,9,23585,-1415,16,16,-1415,10.1,180,301,77,2800556
ABal:10,ABal,10,23300,-1700,-317,-317,-1700,11.8,171,310,76,2853935
ABal:11,ABal,11,23157,-1843,-699,-700,-1843,12.9,155,295,76,2893275
ABal:12,ABal,12,23674,-1326,-22,-25,-1326,13.1,155,283,74,2681781
ABal:13,ABal,13,23487,-1513,-91,-91,-1513,13.2,159,263,75,1680669
ABala:14,ABala,14,23296,-1704,-203,-289,-1699,10.6,154,242,50,569898
ABala:15,ABala,15,23311,-1689,-445,-485,-1689,12.6,142,245,75,1474555
ABala:16,ABala,16,23239,-1761,-687,-576,-1770,14.3,137,255,72,1692055
ABala:17,ABala,17,23785,-1215,-414,-365,-1222,15.6,130,261,71,1827785
ABala:18,ABala,18,23449,-1551,-694,-596,-1562,15.3,132,250,71,1914094
ABala:19,ABala,19,23425,-1575,-854,-772,-1584,15.2,131,232,71,1949113
ABala:20,ABala,20,23609,-1391,-541,-533,-1391,14.9,138,216,71,1962121
ABala:21,ABala,21,23740,-1260,-174,-179,-1260,15.1,142,209,71,1949587
ABala:22,ABala,22,23427,-1573,-463,-460,-1573,15.0,147,206,71,1977747
ABala:23,ABala,23,23432,-1568,-791,-804,-1568,15.3,143,210,70,1895665
ABala:24,ABala,24,23670,-1330,-214,-214,-1330,15.4,155,208,65,1290168
ABalaa:25,ABalaa,25,23819,-1181,-359,-396,-1103,17.4,135,213,58,879445
ABalaa:26,ABalaa,26,23246,-1754,-1165,-1207,-1723,17.6,139,221,58,944306
ABalaa:27,ABalaa,27,23657,-1343,-609,-587,-1351,18.3,130,226,58,1029619
ABalaa:28,ABalaa,28,24114,-886,-483,-393,-914,19.4,129,235,58,1122364
ABalaa:29,ABalaa,29,24267,-733,-255,-282,-733,19.5,138,246,58,1089620
ABalaa:30,ABalaa,30,23490,-1510,-985,-942,-1514,19.3,139,237,59,1140998
ABalaa:31,ABalaa,31,24081,-919,-241,-238,-919,19.6,142,236,59,1133428
ABalaa:32,ABalaa,32,23878,-1122,-692,-657,-1132,18.0,131,236,59,1284014
ABalaa:33,ABalaa,33,23625,-1375,-996,-866,-1451,17.8,128,245,59,1324240
ABalaa:34,ABalaa,34,24010,-990,-519,-436,-999,17.8,129,233,59,1371111
ABalaa:35,ABalaa,35,23826,-1174,-495,-407,-1208,17.7,132,250,59,1376644
ABalaa:36,ABalaa,36,23775,-1225,-881,-838,-1265,18.8,128,252,59,1445326
ABalaa:37,ABalaa,37,23617,-1383,-624,-572,-1393,18.6,135,253,59,1465028
ABalaa:38,ABalaa,38,24635,-365,144,196,-380,18.6,137,256,58,1510655
ABalaa:39,ABalaa,39,23771,-1229,-731,-668,-1235,18.5,141,252,58,1485408
ABalaa:40,ABalaa,40,23149,-1851,-1552,-1472,-1887,18.6,130,249,58,1299315
ABalaaa:41,ABalaaa,41,24076,-924,-305,-313,-1085,17.0,123,248,38,441407
ABalaaa:42,ABalaaa,42,23893,-1107,-653,-445,-1213,16.1,125,251,51,815998
ABalaaa:43,ABalaaa,43,24030,-970,-487,-326,-1177,16.2,123,247,52,1041298
ABalaaa:44,ABalaaa,44,24830,-170,-109,70,-587,16.9,116,242,52,1162830
