cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:1,AB,1,28568,3568,-1610,-1610,3568,16.3,267,300,77,454145
AB:2,AB,2,28556,3556,-1772,-1772,3556,16.8,265,276,71,1359022
ABa:3,ABa,3,29582,4582,-1121,-1121,4582,17.2,229,277,42,312749
ABa:4,ABa,4,29573,4573,-1504,-1504,4573,17.2,234,297,56,556424
ABa:5,ABa,5,29557,4557,-1878,-1878,4557,14.5,241,269,58,604928
ABa:6,ABa,6,29207,4207,-1296,-1296,4207,15.2,199,308,58,653565
ABa:7,ABa,7,28558,3558,-1832,-1832,3558,15.1,181,321,56,609385
ABa:8,ABa,8,28478,3478,-1638,-1638,3478,15.5,171,303,56,675374
ABa:9,ABa,9,28652,3652,-1993,-1993,3652,18.1,126,290,58,856540
ABa:10,ABa,10,29135,4135,-1737,-1737,4135,18.1,147,270,58,856540
ABa:11,ABa,11,28415,3415,-1093,-1093,3415,17.1,157,291,58,980911
ABa:12,ABa,12,28041,3041,-1920,-1920,3041,17.5,163,299,59,811069
ABa:13,ABa,13,29063,4063,-1773,-1773,4063,18.2,196,268,58,719112
ABal:14,ABal,14,28383,3383,-2093,-2168,3157,19.5,194,301,40,202339
ABal:15,ABal,15,28743,3743,-823,-823,3668,21.1,188,288,35,121888
ABal:16,ABal,16,28365,3365,-739,-739,3365,23.1,190,308,34,114459
ABal:17,ABal,17,28421,3421,-1715,-1715,3421,25.0,179,328,50,397240
ABal:18,ABal,18,28395,3395,-1551,-1551,3395,24.4,181,333,49,397625
ABal:19,ABal,19,28221,3221,-1621,-1621,3221,24.3,180,317,49,427942
ABal:20,ABal,20,28209,3209,-1475,-1475,3209,26.0,183,314,49,468748
ABal:21,ABal,21,28977,3977,-514,-514,3977,23.4,173,266,34,166194
ABal:22,ABal,22,28607,3607,-1111,-1111,3607,24.1,167,259,49,548022
ABal:23,ABal,23,28269,3269,-442,-442,3269,25.0,184,206,49,348924
ABal:24,ABal,24,29025,4025,-904,-904,4025,20.1,189,203,50,463364
ABala:25,ABala,25,28462,3462,-1418,-1401,3413,24.3,184,226,44,254717
ABala:26,ABala,26,30364,5364,857,857,5364,22.3,158,262,35,123728
ABala:27,ABala,27,29413,4413,-572,-572,4413,22.0,159,255,35,121018
ABala:28,ABala,28,29731,4731,-974,-974,4731,21.4,138,251,51,416029
ABala:29,ABala,29,28627,3627,-2576,-2576,3627,22.2,128,264,52,610242
ABala:30,ABala,30,28799,3799,-2381,-2381,3799,21.4,136,281,52,711136
ABala:31,ABala,31,28710,3710,-2363,-2363,3710,21.1,130,278,53,800906
ABala:32,ABala,32,29215,4215,-1790,-1790,4215,22.1,133,289,56,1015845
ABala:33,ABala,33,29174,4174,-1403,-1403,4174,24.1,144,290,56,1021813
ABala:34,ABala,34,28814,3814,-1709,-1709,3814,23.1,147,308,57,1028999
ABala:35,ABala,35,28859,3859,-1436,-1436,3859,24.2,161,305,58,1032968
ABala:36,ABala,36,28253,3253,-1798,-1798,3253,24.0,160,297,54,569815
ABala:37,ABala,37,28159,3159,-1505,-1505,3159,23.1,153,293,40,314830
ABalaa:38,ABalaa,38,28611,3611,-2522,-2522,3608,19.0,129,271,42,285764
ABalaa:39,ABalaa,39,29718,4718,-1874,-1871,4718,18.1,114,278,49,399027
ABalaa:40,ABalaa,40,29062,4062,-2290,-2290,4062,17.0,98,271,48,438473
ABalaa:41,ABalaa,41,29629,4629,-1487,-1487,4629,16.1,93,256,51,563679
ABalaa:42,ABalaa,42,29749,4749,-1296,-1296,4749,17.2,90,253,53,715039
ABalaa:43,ABalaa,43,29413,4413,-1696,-1696,4413,18.0,101,253,56,973859
ABalaa:44,ABalaa,44,29673,4673,-1684,-1684,4673,18.0,100,253,58,1081147
ABalaa:45,ABalaa,45,29592,4592,-1164,-1164,4592,18.5,98,259,60,1161857
ABalaa:46,ABalaa,46,28840,3840,-2032,-2032,3840,19.2,105,280,62,1279394
ABalaa:47,ABalaa,47,29460,4460,-1389,-1400,4460,20.1,120,307,63,1224110
ABalaa:48,ABalaa,48,29449,4449,-1373,-1373,4449,19.3,109,286,62,1188741
ABalaa:49,ABalaa,49,29904,4904,-815,-815,4904,19.3,106,272,63,1252593
ABalaa:50,ABalaa,50,29550,4550,-1057,-1058,4550,19.3,106,269,64,1335204
ABalaa:51,ABalaa,51,29720,4720,-1240,-1246,4720,19.1,101,262,64,1418838
ABalaa:52,ABalaa,52,30648,5648,-126,-128,5648,19.2,105,255,63,1255646
