cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:2,ABa,2,23293,-1707,34,34,-1707,13.3,248,240,66,1221574
ABa:3,ABa,3,23024,-1976,-311,-311,-1976,11.7,227,254,67,1658231
ABa:4,ABa,4,23394,-1606,74,74,-1606,12.6,195,246,67,1910142
ABa:5,ABa,5,24003,-997,524,524,-997,15.6,160,251,70,2429618
ABa:6,ABa,6,23114,-1886,-296,-296,-1886,15.4,183,266,74,2751393
ABa:7,ABa,7,23218,-1782,-294,-294,-1782,15.0,191,276,80,3275110
ABa:8,ABa,8,23400,-1600,-153,-153,-1600,13.2,195,294,86,2000991
ABa:9,ABa,9,23427,-1573,27,27,-1573,15.0,217,286,68,1001758
ABal:10,ABal,10,23441,-1559,100,98,-1558,16.7,198,255,61,607206
ABal:11,ABal,11,23093,-1907,-311,-311,-1907,15.9,186,239,67,1062149
ABal:12,ABal,12,23853,-1147,186,186,-1147,15.6,173,230,67,1559403
ABal:13,ABal,13,23481,-1519,123,123,-1519,17.6,164,227,68,1841560
ABal:14,ABal,14,23489,-1511,-185,-185,-1511,18.5,168,227,70,2186739
ABal:15,ABal,15,23419,-1581,-305,-305,-1581,18.7,164,217,73,2391141
ABal:16,ABal,16,23406,-1594,-262,-262,-1594,16.7,169,203,77,2750451
ABal:17,ABal,17,23505,-1495,-419,-419,-1495,16.4,156,216,78,3045090
ABal:18,ABal,18,23571,-1429,-148,-140,-1429,14.6,152,222,76,2451363
ABal:19,ABal,19,23245,-1755,-335,-336,-1755,12.8,165,241,75,1511144
ABala:20,ABala,20,23916,-1084,362,354,-1080,16.4,152,269,60,826904
ABala:21,ABala,21,23318,-1682,-351,-353,-1682,16.4,138,270,66,1082056
ABala:22,ABala,22,23592,-1408,-153,-157,-1408,15.7,138,281,64,1300955
ABala:23,ABala,23,23580,-1420,-138,-125,-1420,13.0,129,282,65,1471918
ABala:24,ABala,24,23615,-1385,124,124,-1385,11.4,139,285,64,1370489
ABala:25,ABala,25,23292,-1708,-391,-391,-1708,11.6,143,297,64,1311767
ABala:26,ABala,26,23933,-1067,274,274,-1067,13.0,144,298,64,1427577
ABala:27,ABala,27,23129,-1871,-435,-435,-1871,13.5,139,305,62,1261827
ABala:28,ABala,28,23482,-1518,-352,-352,-1518,13.0,142,306,65,1421298
ABala:29,ABala,29,23079,-1921,-642,-642,-1921,12.0,154,308,65,1418014
ABala:30,ABala,30,23163,-1837,-535,-535,-1837,11.9,162,315,65,1416385
ABala:31,ABala,31,23371,-1629,-532,-532,-1629,11.6,165,321,65,1232743
ABalaa:32,ABalaa,32,23760,-1240,437,383,-1236,10.3,137,313,40,345252
ABalaa:33,ABalaa,33,23428,-1572,-519,-522,-1572,11.1,121,302,50,627129
ABalaa:34,ABalaa,34,23866,-1134,-157,-157,-1134,11.5,121,301,57,868028
ABalaa:35,ABalaa,35,23329,-1671,-547,-535,-1671,11.5,117,299,58,964189
ABalaa:36,ABalaa,36,23581,-1419,-525,-517,-1419,10.7,116,292,59,1043444
ABalaa:37,ABalaa,37,23194,-1806,-837,-840,-1806,9.9,125,288,60,1160613
