cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
AB:2,AB,2,23436,-1564,-789,-789,-1564,13.4,364,251,56,537264
AB:3,AB,3,23662,-1338,-275,-275,-1338,11.3,349,262,62,1190477
AB:4,AB,4,24240,-760,165,165,-760,11.1,335,247,68,1794918
AB:5,AB,5,24171,-829,136,136,-829,10.1,318,252,74,2415234
AB:6,AB,6,23953,-1047,-152,-152,-1047,13.4,305,258,82,3080782
AB:7,AB,7,23815,-1185,-201,-201,-1185,13.2,292,256,90,3758421
AB:8,AB,8,23820,-1180,-429,-429,-1180,13.1,289,250,70,3758421
AB:9,AB,9,22927,-2073,-1278,-1278,-2073,13.0,286,244,50,0
ABa:10,ABa,10,24115,-885,-142,-129,-885,12.1,260,238,54,468723
ABa:11,ABa,11,24241,-759,-67,-74,-759,13.6,257,251,74,1543857
ABa:12,ABa,12,24205,-795,-156,-156,-795,15.8,244,252,75,1814935
ABa:13,ABa,13,24177,-823,-185,-185,-823,15.1,221,258,80,2437035
ABa:14,ABa,14,24383,-617,-38,-38,-617,13.7,209,259,83,2635212
ABa:15,ABa,15,23835,-1165,-418,-418,-1165,14.5,208,257,87,2901551
ABa:16,ABa,16,24288,-712,142,142,-712,14.8,212,246,69,2901551
ABa:17,ABa,17,24428,-572,144,144,-572,15.0,217,235,50,0
ABal:18,ABal,18,24121,-879,-221,-221,-879,13.0,203,267,50,0
ABal:19,ABal,19,24238,-762,-80,-88,-762,13.1,194,282,72,1175129
ABal:20,ABal,20,23916,-1084,-587,-587,-1084,12.0,193,293,72,1482771
ABal:21,ABal,21,24485,-515,232,232,-515,11.0,170,297,73,1675502
ABal:22,ABal,22,24094,-906,-278,-278,-906,11.0,163,283,72,1708003
ABal:23,ABal,23,24119,-881,-269,-269,-881,12.7,157,296,75,1804494
ABal:24,ABal,24,24081,-919,-331,-331,-919,12.6,151,287,74,1789470
ABal:25,ABal,25,23845,-1155,-624,-624,-1155,13.6,148,288,78,1560400
ABal:26,ABal,26,24001,-999,-334,-334,-999,15.1,167,271,52,427938
ABal:27,ABal,27,24688,-312,357,357,-312,11.7,163,238,46,260180
ABala:28,ABala,28,23608,-1392,-743,-723,-1392,12.3,152,227,63,720957
ABala:29,ABala,29,24194,-806,-464,-464,-806,14.7,143,224,65,1015020
ABala:30,ABala,30,23785,-1215,-754,-754,-1215,14.6,133,215,65,1119044
ABala:31,ABala,31,24358,-642,-303,-303,-642,14.0,140,196,71,1467757
ABala:32,ABala,32,24170,-830,-354,-354,-830,13.2,145,202,73,1514543
ABala:33,ABala,33,24518,-482,-215,-215,-482,12.2,144,203,69,1308581
ABala:34,ABala,34,23894,-1106,-979,-979,-1106,12.2,144,193,70,1432306
ABala:35,ABala,35,23795,-1205,-785,-785,-1205,11.1,154,196,73,1555834
ABala:36,ABala,36,23850,-1150,-489,-489,-1150,12.7,160,204,65,768032
ABala:37,ABala,37,24619,-381,220,220,-381,12.9,158,205,58,554309
ABalaa:38,ABalaa,38,23884,-1116,-692,-667,-1116,12.8,132,216,53,467393
ABalaa:39,ABalaa,39,23987,-1013,-553,-553,-1013,13.1,135,219,52,612552
ABalaa:40,ABalaa,40,24628,-372,66,66,-372,13.1,121,223,54,771140
ABalaa:41,ABalaa,41,24537,-463,-277,-277,-463,14.3,109,236,57,878946
ABalaa:42,ABalaa,42,24269,-731,-774,-774,-731,15.7,117,231,57,887301
ABalaa:43,ABalaa,43,24411,-589,-446,-445,-589,15.4,122,231,61,1068558
ABalaa:44,ABalaa,44,24125,-875,-795,-792,-875,15.0,120,223,60,1172061
ABalaa:45,ABalaa,45,23958,-1042,-1170,-1187,-1042,14.0,125,215,60,1195861
ABalaa:46,ABalaa,46,24529,-471,-353,-356,-471,13.8,123,218,59,1123275
ABalaa:47,ABalaa,47,24389,-611,-395,-394,-611,13.9,122,219,60,1277671
ABalaa:48,ABalaa,48,23817,-1183,-800,-796,-1183,12.9,119,223,60,1381177
ABalaa:49,ABalaa,49,24005,-995,-638,-635,-995,12.9,116,227,61,1449158
ABalaa:50,ABalaa,50,24508,-492,-226,-226,-492,13.8,121,234,59,1342382
ABalaa:51,ABalaa,51,24535,-465,-143,-145,-465,13.3,121,237,62,1590319
ABalaa:52,ABalaa,52,24954,-46,67,67,-46,12.7,123,234,60,1206797
ABalaaa:53,ABalaaa,53,24686,-314,-71,-37,-313,12.7,115,204,59,928050
ABalaaa:54,ABalaaa,54,24899,-101,325,294,-99,13.6,117,229,54,1037518
ABalaaa:55,ABalaaa,55,24371,-629,-350,-360,-629,14.1,107,232,54,1171307
ABalaaa:56,ABalaaa,56,23994,-1006,-485,-485,-1006,13.1,104,247,53,1170762
ABalaaa:57,ABalaaa,57,24658,-342,-168,-168,-342,14.0,104,246,53,1214093
ABalaaa:58,ABalaaa,58,24143,-857,-854,-854,-857,13.9,107,243,53,961039
ABalaaa:59,ABalaaa,59,24208,-792,-203,-203,-792,14.2,107,244,53,1045048
ABalaaa:60,ABalaaa,60,24984,-16,290,290,-16,14.8,109,235,53,1080454
ABalaaa:61,ABalaaa,61,24849,-151,218,218,-151,14.8,111,227,52,1088618
ABalaaa:62,ABalaaa,62,24208,-792,-760,-767,-791,14.3,115,229,51,1028448
ABalaaa:63,ABalaaa,63,24218,-782,-529,-523,-780,13.2,111,233,53,1193530
ABalaaa:64,ABalaaa,64,24491,-509,-359,-352,-509,13.3,105,235,53,1240751
ABalaaa:65,ABalaaa,65,24192,-808,-572,-573,-806,14.2,111,230,52,1262101
ABalaaa:66,ABalaaa,66,24234,-766,-513,-525,-766,13.9,113,232,52,1309854
ABalaaa:67,ABalaaa,67,24222,-778,-288,-281,-777,13.9,112,226,52,1344516
ABalaaa:68,ABalaaa,68,23982,-1018,-791,-800,-1017,15.0,107,231,52,1347350
ABalaaa:69,ABalaaa,69,24602,-398,-52,-39,-398,14.8,111,237,52,1363532
ABalaaa:70,ABalaaa,70,24572,-428,-106,-116,-428,15.1,110,244,53,1400136
ABalaaa:71,ABalaaa,71,24162,-838,-793,-834,-835,16.7,123,244,51,1051962
